"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"'Nun breche ich in Stücke-- ' : Leben - Schreiben - Suizid : über Sylvia Plath, Virginia Woolf, Marina Zwetajewa, Anne Sexton, Unica Zürn, Inge Müller","","012584785","Monograph","Language material ; Text","Volume","","","9783930916290","","","","","Keller, Ursula, editor [person]","","","Germany","Berlin","Vorwerk","2000","","205 pages, illustrations, 22 cm","","YA.2001.a.21230","Suicide in literature ; Plath, Sylvia ; Müller, Inge, 1925-1966 ; T︠S︡vetaeva, Marina, 1892-1941 ; Zürn, Unica ; Women authors--20th century ; Woolf, Virginia, 1882-1941 ; Sexton, Anne, 1928-1974","","German","Essays based on a series of lectures held at Literaturhaus Hamburg in 1998",""
"'Orlando the man and Orlando the woman' : complementary Woolf l --","A Brownian model for literary crowds : individuals suspended in a mass -- ; Brownian motion and crowd psychology : shared moment, shared discourse -- ; Crowds of molecules, crowds as molecules -- ; D. H. Lawrence and 'living relativity' -- ; D. H. Lawrence's 'theory of human relativity' -- ; Modernist physics : waves, particles, and relativities in the writings of Virginia Woolf and D. H. Lawrence ; Relativities and relativism -- ; The balancing act of literature and science -- ; The obligation to choose : dualistic Woolf -- ; Waves, particles, and heuristic points of view --","018717139","Monograph","Language material ; Still image ; Text","Volume","GBB822402","","9780198815976","Crossland, Rachel","1983-","person","author","Crossland, Rachel, 1983-, author [person]","Oxford English monographs","","England","Oxford","Oxford University Press","2018","First edition","xii, 193 pages, 1 illustration, 23 cm","820.936","YC.2019.a.954","Literature and science--History--20th century ; English fiction--20th century--History and criticism ; Einstein, Albert, 1879-1955 ; Lawrence, D. H. (David Herbert), 1885-1930 ; Physics in literature ; Lawrence, D. H. (David Herbert), 1885-1930--Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Influence (Literary, artistic, etc.) ; Einstein, Albert, 1879-1955--Influence","Criticsm and interpretation ; History","English","",""
"'That mysterious thing .' : family concepts in The Forsyte Saga, To the Lighthouse, Mrs. Dalloway and Ulysses","Family concepts in The Forsyte Saga, To the Lighthouse, Mrs. Dalloway and Ulysses","007349992","Monograph","Language material ; Text","Volume","","","9783860577356","Whatmore, Petra","","person","author","Whatmore, Petra, author [person]","ZAA Studies","Band 6 [ZAA Studies]","Germany","Tübingen","Stauffenburg","2001","","viii, 228 pages, 23 cm","","ZA.9.a.10067 (6)","Family in literature ; Joyce, James, 1882-1941 ; Woolf, Virginia, 1882-1941 ; Galsworthy, John, 1867-1933","","English","Orginally a dissertation presented in 1997 by the author at the University of Tübingen",""
"'The Exhibition is in ruins' : Virginia Woolf and Empire","","013593662","Monograph","Language material ; Text","Volume","GBA922146","","9780953886654","Snaith, Anna","","person","author","Virginia Woolf Society of Great Britain [organisation] ; Snaith, Anna, author [person]","Annual Virginia Woolf birthday lectures","6 [Annual Virginia Woolf birthday lectures]","England","Southport","Virginia Woolf Society of Great Britain","2005","","19 pages, 21 cm","823.912","YK.2009.a.6877","Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","'This paper was read as the sixth Annual Virginia Woolf Birthday Lecture on 22 January 2005 in the Keynes Library, 47 Gordon Square, London WC1'--t.p",""
"'The Woolf sting': Sylvia Plath annotating Virginia Woolf","'It had grown into a machine': transcience of identity and the search for a room of one's own in Quicksand and Plum Bun: a Novel Without a Moral ; 'The most amazing senses of her generation': colourist design in Katherine Mansfield's fiction ; An Irish woman poet's room: Eavan Boland's debt to Virginia Woolf ; Destabilizing life writings: narrative and temporal ruptures in The Woman Warrior, China Men, and Orlando ; Elizabeth Bowen and Virginia Woolf: the novelists' art ; Killing the angel and the monster: a comparative and postcolonial analysis of Jean Rhys' Wide Sargasso Sea and Virginia Woolf's The Voyage Out ; Looking through the window: reflections and refractions in Virginia Woolf's A Room of One's Own ; Mrs. Woolf and the critics ; Narrative forms and feminist (dis) contents: an intertextual reading of the prose of Toni Morrison and Virginia Woolf ; Parties, pins, and perspective: Eudora Welty, Virginia Woolf, and matrilinial inheritance ; Raced bodies, corporeal texts: narratives of home and self in Sandra Cisneros' The House on Mango Street ; Rebecca West: twentieth-century heretical humanist ; Spaciousness and subjectivity in Alice Walker's womanist prose: from Virginia Woolf's A Room of One's Own to a garden with 'Every color flower represented' ; The Woolf era ; Virginia Woolf and 20th century women writers ; Virginia Woolf and twentieth century women writers ; Writing was her fighting: Three Guineas as a pacifist response","017581469","Monograph","Language material ; Text","Volume","","","9781619254190","","","","","Artuso, Kathryn Stelmach, editor [person]","Critical insights","","United States of America","Ipswich, Massachusetts","EBSCO Information Services ; Salem","2014","First edition","xxxi, 324 pages, 24 cm","823.912","m15/.11614","English literature--Women authors--20th century--History and criticism ; Influence (Literary, artistic, etc.) ; Woolf, Virginia, 1882-1941--Influence ; Woolf, Virginia, 1882-1941--Criticism and interpretation","Criticsm and interpretation","English","",""
"'The most amazing senses of her generation': colourist design in Katherine Mansfield's fiction","'It had grown into a machine': transcience of identity and the search for a room of one's own in Quicksand and Plum Bun: a Novel Without a Moral ; 'The Woolf sting': Sylvia Plath annotating Virginia Woolf ; An Irish woman poet's room: Eavan Boland's debt to Virginia Woolf ; Destabilizing life writings: narrative and temporal ruptures in The Woman Warrior, China Men, and Orlando ; Elizabeth Bowen and Virginia Woolf: the novelists' art ; Killing the angel and the monster: a comparative and postcolonial analysis of Jean Rhys' Wide Sargasso Sea and Virginia Woolf's The Voyage Out ; Looking through the window: reflections and refractions in Virginia Woolf's A Room of One's Own ; Mrs. Woolf and the critics ; Narrative forms and feminist (dis) contents: an intertextual reading of the prose of Toni Morrison and Virginia Woolf ; Parties, pins, and perspective: Eudora Welty, Virginia Woolf, and matrilinial inheritance ; Raced bodies, corporeal texts: narratives of home and self in Sandra Cisneros' The House on Mango Street ; Rebecca West: twentieth-century heretical humanist ; Spaciousness and subjectivity in Alice Walker's womanist prose: from Virginia Woolf's A Room of One's Own to a garden with 'Every color flower represented' ; The Woolf era ; Virginia Woolf and 20th century women writers ; Virginia Woolf and twentieth century women writers ; Writing was her fighting: Three Guineas as a pacifist response","017581469","Monograph","Language material ; Text","Volume","","","9781619254190","","","","","Artuso, Kathryn Stelmach, editor [person]","Critical insights","","United States of America","Ipswich, Massachusetts","EBSCO Information Services ; Salem","2014","First edition","xxxi, 324 pages, 24 cm","823.912","m15/.11614","English literature--Women authors--20th century--History and criticism ; Influence (Literary, artistic, etc.) ; Woolf, Virginia, 1882-1941--Influence ; Woolf, Virginia, 1882-1941--Criticism and interpretation","Criticsm and interpretation","English","",""
"'The sane & the insane, side by side' : the object-relations of self-management in Mrs. Dalloway","'A direction of one's own' : alienation in Mrs. Dalloway and Sula ; 'All taken together' : ecological form in Mrs. Dalloway ; A dialogue in books : Virginia Woolf's Mrs. Dalloway and Michael Cunningham's The hours ; A-linear time and stream of consciousness ; Biography of Virginia Woolf ; From text to tableau : ekphrastic enchantment in Mrs. Dalloway and To the lighthouse ; Mrs. Dalloway : a study in composition ; Mrs. Dalloway : portrait of the artist as a middle-aged woman ; Mrs. Dalloway and the critics ; Mrs. Dalloway, by Virginia Woolf ; Mrs. Dalloway, the dictator, and the relativity paradox ; On Mrs. Dalloway ; Reinventing grief work : Virginia Woolf's feminist representations of mourning in Mrs. Dalloway and To the lighthouse ; The 'death of the soul' in Mrs. Dalloway ; The Paris review perspective ; The pseudo-homeric world of Mrs. Dalloway ; Virginia Woolf's Mrs. Dalloway : 'a well of tears'","016008428","Monograph","Language material ; Text","Volume","","","9781587658419","","","","","Robbins, Dorothy Dodge, editor [person]","Critical insights","","United States of America","Pasadena, California","Salem","2012","","xiii, 359 pages, 24 cm","823.912","YD.2012.a.2242","Psychological fiction, English--History and criticism ; Woolf, Virginia, 1882-1941 ; Married women in literature ; Stream of consciousness fiction, English--History and criticism","Aufsatzsammlung","English","",""
"'The true nature of woman' from Wollstonecraft to Woolf","","013048279","Monograph","Language material ; Text","Volume","GBA537085","","9780953886647","Gordon, Lyndall","","person","author","Virginia Woolf Society of Great Britain [organisation] ; Gordon, Lyndall, author [person]","Virginia Woolf birthday lectures","5 [Virginia Woolf birthday lectures]","England","Southport","Virginia Woolf Society of Great Britain","2004","","14 pages, 21 cm","823.912","YC.2005.a.2297","Woolf, Virginia, 1882-1941--Criticism and interpretation ; Wollstonecraft, Mary, 1759-1797 ; Woolf, Virginia, 1882-1941--Views on women","","English","'This paper was read at the fifth Annual Virginia Woolf birthday lecture on 24 January 2004 in the Keynes Library, 47 Gordon Square, London WC1.' - t.p ; Published in a limited edition of 250 copies",""
"'This moment I stand on': Woolf and the spaces in time","","010124307","Monograph","Language material ; Text","Volume","GBA279973","","9780953886616","Briggs, Julia","","person","author","Virginia Woolf Society of Great Britain [organisation] ; Briggs, Julia, author [person]","","","England","Southport","Virginia Woolf Society of Great Britain","2001","","22 pages, 21 cm","823.912","YC.2002.a.21659 ; m04/24235","Woolf, Virginia, 1882-1941--Criticism and interpretation","","English","An earlier version of the paper was read as the second Annual Virginia Woolf Birthday Lecture, 2001",""
"'To pin down the moment with date and season'","","016691176","Monograph","Language material ; Text","Volume","GBB5D5052","","9780955571763","Lee, Hermione","","person","author","Lee, Hermione, author [person] ; Virginia Woolf Society of Great Britain, publisher [organisation]","","","England","Southport","Virginia Woolf Society of Great Britain","2014","","15 pages, 21 cm","823.912","YC.2014.a.15772","Woolf, Virginia, 1882-1941","","English","'Published in an edition of 250 copies.' ; 'This paper was read as the fifteenth Annual Virginia Woolf Birthday Lecture on 25 January 2014 in the Chancellor's Hall, Senate House, University of London, Malet Street, London WC1.'",""
"'Who lived at Alfoxton?' : Virginia Woolf and English Romanticism","","011714451","Monograph","Language material ; Text","Volume","","","9780838753651","Tremper, Ellen","1942-","person","author","Tremper, Ellen, 1942-, author [person]","","","England","Lewisburg ; London ; Pennsylvania","Associated University Presses ; Bucknell University Press","1998","","299 pages, 25 cm","823.912","98/06986","Modernism (Literature)--Great Britain ; Self in literature ; Influence (Literary, artistic, etc.) ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Romanticism--Great Britain--History--20th century","","English","",""
"1/ An Overview of Motherhood --","2. Disentangling Notions -- ; 3. A Mother's Vision and Love in D.H. Lawrence's Sons and Lovers -- ; 4. Mothers and Social Criticism in James Joyce's Dubliners -- ; 5. A Mother's 'Divided Self' in Virginia Woolf's To the Lighthouse -- ; 6. 'I'm a Cérébrale': A Mother's Isolation and Marginalization in Jean Rhys' Good Morning, Midnight -- ; 7. From Modernism to Contemporary Literature: A Timeless Debate -- ; Acknowledgments -- ; Contents -- ; Frontmatter -- ; Narcissistic Mothers in Modernist Literature : New Perspectives on Motherhood in the Works of D.H. Lawrence, James Joyce, Virginia Woolf, and Jean Rhys ; Works Cited","019567187","Monograph","Language material ; Text","Online resource","GBC066061","","9783839449660","Rademacher, Marie Géraldine","","person","author","Rademacher, Marie Géraldine, author [person]","Lettre","","Germany","Bielefeld","Transcript-Verlag","2019","","1 online resource","809.933520431","ELD.DS.462122","Joyce, James, 1882-1941 ; Motherhood in literature ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Joyce, James, 1882-1941--Criticism and interpretation ; Woolf, Virginia, 1882-1941 ; Lawrence, D. H. (David Herbert), 1885-1930 ; Narcissism in literature ; Lawrence, D. H. (David Herbert), 1885-1930--Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Rhys, Jean--Criticism and interpretation","Criticsm and interpretation","English","",""
"2. Disentangling Notions --","1/ An Overview of Motherhood -- ; 3. A Mother's Vision and Love in D.H. Lawrence's Sons and Lovers -- ; 4. Mothers and Social Criticism in James Joyce's Dubliners -- ; 5. A Mother's 'Divided Self' in Virginia Woolf's To the Lighthouse -- ; 6. 'I'm a Cérébrale': A Mother's Isolation and Marginalization in Jean Rhys' Good Morning, Midnight -- ; 7. From Modernism to Contemporary Literature: A Timeless Debate -- ; Acknowledgments -- ; Contents -- ; Frontmatter -- ; Narcissistic Mothers in Modernist Literature : New Perspectives on Motherhood in the Works of D.H. Lawrence, James Joyce, Virginia Woolf, and Jean Rhys ; Works Cited","019567187","Monograph","Language material ; Text","Online resource","GBC066061","","9783839449660","Rademacher, Marie Géraldine","","person","author","Rademacher, Marie Géraldine, author [person]","Lettre","","Germany","Bielefeld","Transcript-Verlag","2019","","1 online resource","809.933520431","ELD.DS.462122","Joyce, James, 1882-1941 ; Motherhood in literature ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Joyce, James, 1882-1941--Criticism and interpretation ; Woolf, Virginia, 1882-1941 ; Lawrence, D. H. (David Herbert), 1885-1930 ; Narcissism in literature ; Lawrence, D. H. (David Herbert), 1885-1930--Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Rhys, Jean--Criticism and interpretation","Criticsm and interpretation","English","",""
"3. A Mother's Vision and Love in D.H. Lawrence's Sons and Lovers --","1/ An Overview of Motherhood -- ; 2. Disentangling Notions -- ; 4. Mothers and Social Criticism in James Joyce's Dubliners -- ; 5. A Mother's 'Divided Self' in Virginia Woolf's To the Lighthouse -- ; 6. 'I'm a Cérébrale': A Mother's Isolation and Marginalization in Jean Rhys' Good Morning, Midnight -- ; 7. From Modernism to Contemporary Literature: A Timeless Debate -- ; Acknowledgments -- ; Contents -- ; Frontmatter -- ; Narcissistic Mothers in Modernist Literature : New Perspectives on Motherhood in the Works of D.H. Lawrence, James Joyce, Virginia Woolf, and Jean Rhys ; Works Cited","019567187","Monograph","Language material ; Text","Online resource","GBC066061","","9783839449660","Rademacher, Marie Géraldine","","person","author","Rademacher, Marie Géraldine, author [person]","Lettre","","Germany","Bielefeld","Transcript-Verlag","2019","","1 online resource","809.933520431","ELD.DS.462122","Joyce, James, 1882-1941 ; Motherhood in literature ; LITERARY CRITICISM--European--English, Irish, Scottish, Welsh ; Joyce, James, 1882-1941--Criticism and interpretation ; Woolf, Virginia, 1882-1941 ; Lawrence, D. H. (David Herbert), 1885-1930 ; Narcissism in literature ; Lawrence, D. H. (David Herbert), 1885-1930--Criticism and interpretation ; Woolf, Virginia, 1882-1941--Criticism and interpretation ; Rhys, Jean--Criticism and interpretation","Criticsm and interpretation","English","",""
